,name,handedness,height,weight,avg,HR
356,Al Cowens,R,73,197,0.27,108
357,Al Oliver,L,72,195,0.303,219
358,Dave Hilton,R,71,191,0.213,6
359,Luis Alvarado,R,69,162,0.214,5
360,Larry Parrish,R,75,190,0.263,256
361,Woodie Fryman,R,75,197,0.138,2
362,Bob Randall,R,74,175,0.257,1
363,Jim Pankovits,R,70,170,0.25,9
365,Carmen Fanzone,R,72,200,0.224,20
366,Gary Allenson,R,71,185,0.221,19
367,Milt May,L,72,190,0.263,77
368,Mike Vail,R,73,180,0.279,34
369,Nick Esasky,R,75,200,0.25,122
370,Jim Nettles,L,72,186,0.22,16
372,Chris Cannizzaro,R,72,190,0.235,18
373,Larry Biittner,L,74,205,0.273,29
375,Mel Stottlemyre,R,73,178,0.16,7
378,Roy Smalley,B,73,185,0.257,163
380,Andy Messersmith,R,73,200,0.17,5
381,Richie Zisk,R,73,200,0.287,207
382,Dave Chalk,R,70,175,0.252,15
383,Don Baylor,R,73,190,0.26,338
384,John Vukovich,R,73,187,0.161,6
385,Danny Thompson,R,72,183,0.248,15
386,Joe Simpson,L,75,175,0.242,9
387,Bill Fahey,L,72,200,0.241,7
388,Doug Camilli,R,71,195,0.199,18
389,Bernie Allen,L,72,175,0.239,73
390,Bruce Bochy,R,75,205,0.239,26
392,Claudell Washington,L,72,190,0.278,164
393,John Donaldson,L,71,160,0.238,4
395,John Mayberry,L,75,215,0.253,255
396,Ken Reitz,R,72,180,0.26,68
397,Amos Otis,R,71,165,0.277,193
398,Gene Alley,R,70,160,0.254,55
399,Ted Sizemore,R,70,165,0.262,23
400,Dan Briggs,L,72,180,0.195,12
402,Doug Flynn,R,71,165,0.238,7
404,Ken Holtzman,R,74,175,0.163,2
405,Pete Ward,L,73,185,0.254,98
406,Kevin Bell,R,72,195,0.222,13
407,Tom Nieto,R,73,193,0.205,5
408,Duke Sims,L,74,197,0.239,100
409,Larvell Blanks,R,68,167,0.253,20
411,Mike Davis,L,74,175,0.259,91
412,Jerry Reuss,L,77,200,0.167,1
413,Steve Yeager,R,72,190,0.228,102
414,Danny Goodwin,L,73,195,0.236,13
415,Bud Harrelson,B,71,160,0.236,7
416,Bob Knepper,L,75,195,0.137,6
417,Mickey Rivers,L,70,165,0.295,61
418,Jim Northrup,L,75,190,0.267,153
419,John Hale,L,74,195,0.201,14
421,Pedro Garcia,R,70,175,0.22,37
422,Carl Yastrzemski,L,71,175,0.285,452
425,Derrel Thomas,B,72,160,0.249,43
426,Art Howe,R,74,190,0.26,43
427,Ike Brown,R,72,190,0.256,20
428,Howie Goss,R,76,204,0.216,11
429,Glenn Borgmann,R,76,210,0.229,16
430,Lamar Johnson,R,74,215,0.287,64
431,Julio Gonzalez,R,71,162,0.235,4
432,Bobby Klaus,R,70,170,0.208,6
433,Manny Sanguillen,R,72,193,0.296,65
434,Gates Brown,L,71,220,0.257,84
435,Johnny Ray,B,71,170,0.29,53
436,Jesus Alou,R,74,190,0.28,32
437,Ken Landreaux,L,70,165,0.268,91
438,Enos Cabell,R,76,170,0.277,60
440,Billy North,B,71,185,0.261,20
441,Juan Beniquez,R,71,150,0.274,79
442,Frank Fernandez,R,72,185,0.199,39
443,Bombo Rivera,R,70,187,0.265,10
444,Steve Brye,R,72,190,0.258,30
445,Ron Jackson,R,72,200,0.259,56
446,Roger Metzger,B,72,165,0.231,5
447,Rufino Linares,R,72,170,0.27,11
448,Ray Webster,L,72,185,0.244,17
449,Bob Kearney,R,72,190,0.233,27
450,Fergie Jenkins,R,77,205,0.165,13
451,Dick Dietz,R,73,195,0.261,66
452,Ted Cox,R,75,195,0.245,10
453,Bobby Mitchell,L,70,170,0.243,3
454,Bobby Mitchell,R,75,185,0.235,21
455,Barry Evans,R,73,180,0.251,2
456,Mickey Brantley,R,70,180,0.259,32
457,Al Gallagher,R,72,180,0.263,11
459,Hector Cruz,R,71,170,0.225,39
460,Fred Norman,B,68,155,0.125,0
461,Woody Woodward,R,74,180,0.236,1
462,Ted Martinez,R,72,165,0.24,7
463,Jim Anderson,R,72,170,0.218,13
464,Lenn Sakata,R,69,160,0.23,25
465,Dave Duncan,R,74,190,0.214,109
466,Randy Jones,R,72,178,0.132,0
467,Dick Billings,R,73,195,0.227,16
469,Bruce Bochte,L,75,195,0.282,100
470,Bernie Carbo,L,71,173,0.264,96
471,Vic Davalillo,L,67,150,0.279,36
472,Burt Hooton,R,73,210,0.123,4
475,Fernando Gonzalez,R,70,165,0.235,17
476,Jim Sundberg,R,72,190,0.248,95
477,Andy Kosco,R,75,205,0.236,73
478,Steve Huntz,B,73,204,0.206,16
480,Lenny Faedo,R,72,170,0.251,5
481,John Lowenstein,L,72,175,0.253,116
482,Don Kessinger,B,73,170,0.252,14
483,Joe Hague,L,72,195,0.239,40
484,Bake McBride,L,74,190,0.299,63
485,Dick Davis,R,75,190,0.265,27
486,Richie Scheinblum,B,73,180,0.263,13
487,Ed Herrmann,L,73,195,0.24,80
490,Bob Molinaro,L,72,190,0.264,14
491,Mike Hegan,L,73,188,0.242,53
492,Mike Diaz,R,74,195,0.247,31
493,Tim Foli,R,72,179,0.251,25
494,Alan Knicely,R,72,190,0.213,12
495,Tim Laudner,R,75,212,0.225,77
496,Jose Morales,R,71,187,0.287,26
499,Juan Marichal,R,72,185,0.165,4
500,Vida Blue,B,72,189,0.104,4
503,Stan Papi,R,72,170,0.218,7
504,Rob Wilfong,L,73,180,0.248,39
506,Steve Henderson,R,74,190,0.28,68
507,Rob Picciolo,R,74,185,0.234,17
510,Roberto Pena,R,68,170,0.245,13
511,Bob Dernier,R,72,160,0.255,23
512,Bill Melton,R,74,200,0.253,160
513,Albert Hall,B,71,155,0.251,5
514,Barbaro Garbey,R,70,170,0.267,11
515,John Milner,L,72,185,0.249,131
516,Rich Reese,L,75,185,0.253,52
517,Chris Bando,B,72,195,0.227,27
518,Bill Buckner,L,72,185,0.289,174
519,Jack Hiatt,R,74,190,0.251,22
520,Nelson Mathews,R,76,195,0.223,22
521,Larry Lintz,B,69,150,0.227,0
522,Ron Theobald,R,68,165,0.248,2
524,Rafael Santana,R,73,165,0.246,13
525,Jerry Hairston,B,70,170,0.258,30
529,Tommie Aaron,R,75,190,0.229,13
530,Steve Dillard,R,73,180,0.243,13
533,George Scott,R,74,200,0.268,271
535,Ken Walters,R,73,180,0.231,11
536,Gorman Thomas,R,74,210,0.225,268
537,Paul Dade,R,73,185,0.27,10
538,Darrell Porter,L,72,193,0.247,188
539,Tim Johnson,L,73,170,0.223,0
540,Fred Stanley,R,70,165,0.216,10
541,Larry Bowa,B,70,155,0.26,15
542,Tim Corcoran,L,71,175,0.27,12
543,Jim Spencer,L,74,195,0.25,146
544,Pete LaCock,L,74,200,0.257,27
545,Carl Morton,R,72,200,0.156,7
546,Gary Gray,R,72,187,0.24,24
547,Matty Alou,L,69,160,0.307,31
549,Jim Dwyer,L,70,165,0.26,77
550,Dalton Jones,L,73,180,0.235,41
551,Rennie Stennett,R,71,160,0.274,41
553,Jerry May,R,74,190,0.234,15
554,Rich McKinney,R,71,185,0.225,20
555,Clint Hurdle,L,75,195,0.259,32
556,Mike Andrews,R,75,195,0.258,66
557,Bobby Clark,R,72,190,0.239,19
559,Cliff Johnson,R,76,215,0.258,196
561,Donn Clendenon,R,76,209,0.274,159
562,Charlie James,R,73,195,0.255,29
563,Bob Horner,R,73,195,0.277,218
564,Tom Veryzer,R,73,175,0.241,14
566,George Smith,R,70,170,0.205,9
567,Jim Essian,R,74,195,0.244,33
568,Onix Concepcion,R,66,160,0.239,3
569,Boots Day,L,69,160,0.256,8
570,Brian Giles,R,73,165,0.228,10
571,Garry Maddox,R,75,175,0.285,117
572,Alex Trevino,R,70,165,0.249,23
573,Jim Price,R,72,192,0.214,18
574,Felix Millan,R,71,172,0.279,22
575,Steve Garvey,R,70,192,0.294,272
576,Don Mincher,L,75,205,0.249,200
579,Tony Cloninger,R,72,210,0.192,11
580,Jim Gosger,L,71,185,0.226,30
581,Chuck Harrison,R,70,185,0.238,17
582,Mike Ivie,R,75,205,0.269,81
584,Bob Veale,B,78,212,0.114,0
585,Marvell Wynne,L,71,175,0.247,40
586,Dusty Baker,R,74,183,0.278,242
587,Tucker Ashford,R,73,195,0.218,6
588,Ned Yost,R,73,190,0.212,16
589,Bob Stinson,B,71,180,0.25,33
591,Gaylord Perry,R,76,205,0.131,6
592,Dave Marshall,L,73,182,0.246,16
593,Mickey Hatcher,R,74,200,0.28,38
594,Roger Repoz,L,75,190,0.224,82
596,John Orsino,R,75,215,0.249,40
598,Johnny Briggs,L,73,190,0.253,139
600,Dave Hostetler,R,76,215,0.229,37
601,Bob Jones,L,74,195,0.221,20
602,Keith Hernandez,L,72,180,0.296,162
604,Dean Chance,R,75,200,0.066,0
605,Willie Upshaw,L,72,185,0.262,123
606,Dick Green,R,70,180,0.24,80
607,Dane Iorg,L,72,180,0.276,14
608,Richie Hebner,L,73,195,0.276,203
609,Fran Healy,R,77,220,0.25,20
610,Doc Edwards,R,74,215,0.238,15
611,Sandy Alomar,B,69,140,0.245,13
612,Joe Strain,R,70,169,0.25,1
613,Gene Richards,L,72,175,0.29,26
614,Buddy Bell,R,73,180,0.279,201
615,Al Woods,L,75,190,0.271,35
616,Rudy Law,L,73,165,0.271,18
618,Jody Davis,R,76,192,0.245,127
619,Mike Edwards,R,70,154,0.25,2
622,Deron Johnson,R,74,200,0.244,245
623,John Denny,R,75,185,0.17,0
624,Don Wert,R,70,162,0.242,77
625,Mike Fiore,L,72,175,0.227,13
626,Miguel Dilone,B,72,160,0.265,6
627,Greg Luzinski,R,73,220,0.276,307
628,Bobby Tolan,L,71,170,0.265,86
631,Ron Woods,R,70,168,0.233,26
632,Tony Horton,R,75,210,0.268,76
633,Randy Hundley,R,71,170,0.236,82
634,Jose Tartabull,L,71,165,0.261,2
635,Ben Oglivie,L,74,160,0.273,235
637,Bob Johnson,R,70,175,0.272,44
638,Don Buford,B,67,160,0.264,93
639,Duane Kuiper,L,72,175,0.271,1
640,Brant Alyea,R,75,215,0.247,38
641,Jerry Narron,L,75,205,0.211,21
642,Lou Johnson,R,71,170,0.258,48
643,Ken Retzer,L,72,185,0.264,14
644,Mike Brown,R,74,195,0.265,23
646,Greg Walker,L,75,205,0.26,113
647,Terry Harper,R,76,195,0.253,36
648,Jerry Royster,R,72,165,0.249,40
651,Barry Bonnell,R,75,190,0.272,56
652,Tom Seaver,R,73,195,0.154,12
653,Jerry Martin,R,73,195,0.251,85
654,Bill Stein,R,70,170,0.267,44
655,Joel Youngblood,R,72,180,0.265,80
656,Reggie Jackson,L,72,195,0.262,563
657,Sonny Jackson,L,69,150,0.251,7
659,Rodney Scott,B,72,160,0.236,3
660,Rich Coggins,L,68,170,0.265,12
661,Phil Gagliano,R,73,180,0.238,14
662,Jerry McNertney,R,72,180,0.237,27
663,Mitchell Page,L,74,205,0.266,72
664,Kiko Garcia,R,71,180,0.239,12
665,Larry Milbourne,B,72,161,0.254,11
666,Bill Sudakis,B,73,190,0.234,59
668,Domingo Ramos,R,70,154,0.24,8
669,Ron Oester,B,74,185,0.265,42
670,Glenn Adams,L,73,180,0.28,34
672,Joe Morgan,L,67,160,0.271,268
673,R.J. Reynolds,B,72,190,0.267,35
675,Lee Thomas,L,74,195,0.255,106
676,Ray Fosse,R,74,215,0.256,61
677,Paul Popovich,B,72,175,0.233,14
678,John Stephenson,L,71,180,0.216,12
679,Doug Clemens,L,72,180,0.229,12
681,Orlando Mercado,R,72,180,0.199,7
682,Charley Smith,R,73,170,0.239,69
684,Buddy Biancalana,B,71,160,0.205,6
686,Bob Uecker,R,73,190,0.2,14
687,Felix Torres,R,71,165,0.254,27
688,Steve Braun,L,70,180,0.271,52
689,Ray Knight,R,73,185,0.271,84
690,Ty Cline,L,72,170,0.238,6
691,Thad Bosley,L,75,175,0.272,20
692,Bobby Grich,R,74,180,0.266,224
693,Jimmie Hall,L,72,175,0.254,121
694,John Boccabella,R,73,195,0.219,26
695,Brock Davis,L,70,160,0.26,1
697,Curt Blefary,L,74,195,0.237,112
700,Mack Jones,L,73,180,0.252,133
701,Buddy Bradford,R,71,170,0.226,52
702,Hosken Powell,L,73,175,0.259,17
704,Dave Stapleton,R,73,178,0.271,41
705,Gary Ward,R,74,195,0.276,130
706,Jim Lonborg,R,77,200,0.136,3
707,Joe Lis,R,72,175,0.233,32
708,Dan Meyer,L,71,180,0.253,86
709,Jim Holt,L,72,180,0.265,19
711,Larry Herndon,R,75,190,0.274,107
715,Wallace Johnson,B,72,173,0.255,5
717,Eddie Leon,R,72,170,0.236,24
719,Jim Wohlford,R,71,175,0.26,21
720,J.R. Richard,R,80,222,0.168,10
721,Bill Voss,L,74,160,0.227,19
722,Keith Moreland,R,72,190,0.279,121
724,Alex Johnson,R,72,205,0.288,78
725,Wayne Krenchicki,L,73,180,0.266,15
727,Dave Rosello,R,71,160,0.236,10
729,Paul Schaal,R,71,165,0.244,57
730,Tito Landrum,R,71,175,0.249,13
731,Dave Edwards,R,72,170,0.237,14
732,Mario Guerrero,R,70,155,0.257,7
733,Tom Tresh,B,73,180,0.245,153
735,Ron Roenicke,B,72,180,0.238,17
736,Doug Griffin,R,72,160,0.245,7
737,Steve Blass,R,72,165,0.172,1
738,Johnnie LeMaster,R,74,165,0.222,22
740,Nate Oliver,R,70,160,0.226,2
741,Ray Sadecki,L,71,180,0.191,5
742,Ken Rudolph,R,73,180,0.213,6
743,Wayne Nordhagen,R,74,205,0.282,39
744,Biff Pocoroba,B,70,175,0.257,21
745,Len Matuszek,L,74,190,0.234,30
747,Joe Lefebvre,L,70,170,0.258,31
748,Jim Maloney,L,74,190,0.201,7
749,Andre Robertson,R,70,155,0.251,5
750,Jerry Zimmerman,R,74,185,0.204,3
753,Chet Lemon,R,72,190,0.273,215
755,Phil Mankowski,L,72,180,0.264,8
756,Cleon Jones,R,72,185,0.281,93
757,Joaquin Andujar,B,72,170,0.127,5
758,Mike Lum,L,72,180,0.247,90
759,Johnny Grubb,L,75,175,0.278,99
760,Curt Motton,R,68,164,0.213,25
761,Johnny Bench,R,73,197,0.267,389
762,Dale Berra,R,72,180,0.236,49
764,Bob Meacham,B,73,175,0.236,8
766,Carl Warwick,R,70,170,0.248,31
767,Sam Bowens,R,73,188,0.223,45
768,George Wright,B,71,180,0.245,42
769,Luis Aguayo,R,69,173,0.236,37
770,Hal Lanier,R,74,180,0.228,8
772,Len Randle,B,70,169,0.257,27
773,Greg Pryor,R,72,180,0.25,14
774,Jim Traber,L,72,194,0.227,27
775,Dave Nelson,R,70,160,0.244,20
776,Lynn Jones,R,69,175,0.252,7
777,Bryan Little,B,70,160,0.245,3
778,Ken Suarez,R,69,175,0.227,5
779,Rick Peters,B,69,170,0.277,2
780,Ron Stone,L,74,185,0.241,6
782,Tommie Agee,R,71,195,0.255,130
783,Bob Bailey,R,73,180,0.257,189
784,Cap Peterson,R,74,195,0.23,19
785,Ted Uhlaender,L,74,190,0.263,36
786,Ted Simmons,B,71,193,0.285,248
787,Bobby Murcer,L,71,160,0.277,252
788,Dick Tracewski,R,71,160,0.213,8
791,Bill Nahorodny,R,74,200,0.241,25
792,Bill Madlock,R,71,180,0.305,163
793,Bob Boone,R,74,195,0.254,105
795,Steve Kemp,L,72,195,0.278,130
796,Rick Burleson,R,70,165,0.273,50
800,Carl Taylor,R,74,200,0.266,10
801,Terry Harmon,R,74,180,0.233,4
802,Mike Hargrove,L,72,195,0.29,80
804,Steve Hovley,L,70,188,0.258,8
805,Don Leppert,R,74,220,0.229,15
813,Lee May,R,75,195,0.267,354
815,Sam McDowell,L,77,190,0.154,2
816,Rick Renick,R,72,188,0.221,20
817,Jeff Torborg,R,72,195,0.214,8
818,Dave Campbell,R,73,180,0.213,20
819,Pat Kelly,L,73,185,0.264,76
820,Al Weis,B,72,160,0.219,7
821,Jerry Turner,L,69,180,0.257,45
